precio,moneda,expenses,direccion,titulo,ubicacion,superficie,dormitorio,antiguedad,banos,ambientes,cocheras,toilett,estado,disposicion,parrilla,gimnasio,pileta,solarium,playroom,quincho,ascensor,departamento,provincia,municipio,url_link,localidad_barrio,provincia_region
70000.0,$,14500.0,"Bulnes 700, Piso 7","Departamento en Alquiler en Almagro, Capital Federal","Almagro, Capital Federal",40.0,1.0,35.0,1.0,2.0,,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 5,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--12576271,Almagro,Capital Federal
100000.0,$,16000.0,"Av. Nazca 1700, Piso 5","Departamento en Alquiler en Villa del Parque, Capital Federal","Villa del Parque, Capital Federal",50.0,1.0,0.0,,2.0,,,Excelente,Frente,0,0,0,0,0,0,0,Comuna 11,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--12575209,Villa del Parque,Capital Federal
62000.0,$,17000.0,Olleros 4100,"Departamento en Alquiler en Chacarita, Capital Federal","Chacarita, Capital Federal",30.0,0.0,30.0,1.0,,,,Bueno,Lateral,0,0,0,0,0,0,1,Comuna 15,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-chacarita--9026468,Chacarita,Capital Federal
62000.0,$,17000.0,Olleros 4100,"Departamento en Alquiler en Colegiales, Capital Federal","Colegiales, Capital Federal",30.0,0.0,30.0,1.0,,,,Bueno,Lateral,0,0,0,0,0,0,1,Comuna 15,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-colegiales--4762835,Colegiales,Capital Federal
70000.0,$,9650.0,"Ladines 2500, Piso 2","Departamento en Alquiler en Villa Pueyrredon, Capital Federal","Villa Pueyrredon, Capital Federal",28.0,0.0,12.0,1.0,,,,Excelente,Lateral,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon--6659426,Villa Pueyrredon,Capital Federal
129000.0,$,13200.0,"AMBROSETTI, JUAN B. 100","Departamento en Alquiler en Caballito, Capital Federal","Caballito, Capital Federal",57.0,2.0,,1.0,3.0,,,Regular,,0,0,0,0,0,0,0,Comuna 6,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--12579451,Caballito,Capital Federal
98000.0,$,16000.0,"Av Independencia 3200, Piso 20","Departamento en Alquiler en San Cristobal, Capital Federal","San Cristobal, Capital Federal",37.0,1.0,25.0,1.0,2.0,,,Excelente,Lateral,0,0,0,0,0,0,0,Comuna 3,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--12567228,San Cristobal,Capital Federal
98000.0,$,16000.0,"Av Independencia 3200, Piso 20","Departamento en Alquiler en Balvanera, Capital Federal","Balvanera, Capital Federal",37.0,1.0,25.0,1.0,2.0,,,Excelente,Lateral,0,0,0,0,0,0,0,Comuna 3,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--12567227,Balvanera,Capital Federal
170000.0,$,39500.0,Emilio Mitre al 500,"Departamento en Alquiler en Caballito, Capital Federal","Caballito, Capital Federal",69.0,3.0,0.0,2.0,5.0,1.0,,,,0,1,1,0,0,0,0,Comuna 6,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-5-ambientes--12569833,Caballito,Capital Federal
160000.0,$,25000.0,AVENIDA DIAZ VELEZ 3600,"Departamento en Alquiler en Almagro, Capital Federal","Almagro, Capital Federal",55.0,2.0,5.0,1.0,3.0,,,Bueno,Frente,0,0,0,0,0,0,0,Comuna 5,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--12582187,Almagro,Capital Federal
90000.0,$,13500.0,San Jose de Calasanz al 100,"Departamento en Alquiler en Caballito, Capital Federal","Caballito, Capital Federal",39.0,1.0,25.0,1.0,2.0,,,,,0,0,0,0,0,0,0,Comuna 6,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--12582577,Caballito,Capital Federal
70000.0,$,,Cardoso 100,"Departamento en Alquiler en Floresta, Capital Federal","Floresta, Capital Federal",,0.0,,1.0,,,,,,0,0,0,0,0,0,0,Comuna 10,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-floresta--12583455,Floresta,Capital Federal
95000.0,$,19240.0,"Juncal 1300, Piso 4","Departamento en Alquiler en Palermo, Capital Federal","Palermo, Capital Federal",45.0,1.0,50.0,1.0,2.0,,,Bueno,Lateral,0,0,0,0,0,0,0,Comuna 1,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--12583466,Palermo,Capital Federal
100000.0,$,26000.0,MERCEDES 400,"Departamento en Alquiler en Floresta, Capital Federal","Floresta, Capital Federal",,2.0,,1.0,3.0,,,Excelente,Frente,0,0,0,0,0,0,0,Comuna 10,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-floresta-3-ambientes--12583591,Floresta,Capital Federal
140000.0,$,8500.0,"Gavilan 4600, Piso 1","Departamento en Alquiler en Villa Pueyrredon, Capital Federal","Villa Pueyrredon, Capital Federal",60.0,2.0,8.0,1.0,3.0,,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-3-ambientes--4787716,Villa Pueyrredon,Capital Federal
80000.0,$,9000.0,"Bolivia 2000, Piso 6","Departamento en Alquiler en Paternal, Capital Federal","Paternal, Capital Federal",42.0,1.0,35.0,1.0,2.0,,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 11,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-paternal-2-ambientes--12583725,Paternal,Capital Federal
100000.0,$,12000.0,"Donado 2800, Piso 1","Departamento en Alquiler en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",40.0,1.0,2.0,1.0,2.0,1.0,,Excelente,Contra frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--7785359,Villa Urquiza,Capital Federal
630700.0,$,70000.0,Figueroa Alcorta al 3000,"Departamento en Alquiler en Palermo Chico, Palermo","Palermo Chico, Palermo",170.0,3.0,40.0,2.0,4.0,1.0,,,,0,0,0,0,0,0,0,Comuna 2,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--11960120,Palermo Chico,Palermo
259700.0,$,25000.0,Boyaca 600,"Departamento en Alquiler en Caballito, Capital Federal","Caballito, Capital Federal",85.0,2.0,2.0,2.0,3.0,1.0,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 7,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--12584287,Caballito,Capital Federal
65000.0,$,2000.0,"AV. LOPE DE VEGA 1300, Piso PB","Departamento en Alquiler en Villa Luro, Capital Federal","Villa Luro, Capital Federal",27.0,0.0,0.0,1.0,,,,,,0,0,0,0,0,0,0,Comuna 10,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-luro--12574127,Villa Luro,Capital Federal
85000.0,$,12000.0,"Quesada 3000, Piso 1","Departamento en Alquiler en Belgrano, Capital Federal","Belgrano, Capital Federal",,0.0,4.0,1.0,,,,Muy Bueno,Frente,0,0,0,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano--12584739,Belgrano,Capital Federal
170000.0,$,23000.0,"Ciudad De La Paz 1500, Piso 6","Departamento en Alquiler en Belgrano, Capital Federal","Belgrano, Capital Federal",80.0,3.0,40.0,1.0,4.0,,1.0,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--12584845,Belgrano,Capital Federal
144900.0,$,24500.0,"Cnel J Moldes 2300, Piso 2","Departamento en Alquiler en Belgrano, Capital Federal","Belgrano, Capital Federal",56.0,2.0,35.0,1.0,3.0,,,Bueno,Frente,0,0,0,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--9424685,Belgrano,Capital Federal
80000.0,$,10000.0,"R Alcaraz 5100, Piso 4","Departamento en Alquiler en Monte Castro, Floresta","Monte Castro, Floresta",42.0,1.0,3.0,1.0,2.0,,,Excelente,Contra frente,0,0,0,0,0,0,0,Comuna 10,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--12585600,Monte Castro,Floresta
125000.0,$,26200.0,"Vidt 1900, Piso 4","Departamento en Alquiler en Palermo Nuevo, Palermo","Palermo Nuevo, Palermo",50.0,1.0,57.0,1.0,2.0,,,Muy Bueno,Frente,0,0,0,0,0,0,0,Comuna 14,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-2-ambientes--6774755,Palermo Nuevo,Palermo
25970000.0,$,6800.0,Av Gdor L Vernet 300,"Departamento en Alquiler en Parque Chacabuco, Capital Federal","Parque Chacabuco, Capital Federal",,1.0,,1.0,2.0,,,Bueno,Lateral,0,0,0,0,0,0,0,Comuna 7,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-2-ambientes--12559326,Parque Chacabuco,Capital Federal
80000.0,$,11000.0,"Av. Directorio 4100, Piso 6","Departamento en Alquiler en Floresta, Capital Federal","Floresta, Capital Federal",50.0,2.0,,1.0,3.0,,,,Frente,0,0,0,0,0,0,0,Comuna 9,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-floresta-3-ambientes--12542868,Floresta,Capital Federal
52000.0,$,,"Av Belgrano 4200, Piso 1","Departamento en Alquiler en Almagro, Capital Federal","Almagro, Capital Federal",20.0,0.0,30.0,1.0,1.0,,,Bueno,Lateral,0,0,0,0,0,0,0,Comuna 5,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--12552411,Almagro,Capital Federal
371000.0,$,55000.0,CALLAO al 1500,"Departamento en Alquiler en Recoleta, Barrio Norte","Recoleta, Barrio Norte",144.0,3.0,60.0,1.0,5.0,,,,,0,0,0,0,0,0,1,Comuna 2,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--12581757,Recoleta,Barrio Norte
704900.0,$,10000.0,ARAOZ al 1000,"Departamento en Alquiler en Palermo, Capital Federal","Palermo, Capital Federal",60.0,1.0,4.0,1.0,2.0,,,,,0,0,0,0,0,0,0,Comuna 15,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--12581742,Palermo,Capital Federal
704900.0,$,10000.0,ARAOZ al 1000,"Departamento en Alquiler en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",60.0,1.0,4.0,1.0,2.0,,,,,0,0,0,0,0,0,0,Comuna 15,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--12581738,Villa Crespo,Capital Federal
294000.0,$,34000.0,ALVAREZ THOMAS al 300 PISO ALTO  AL FRENTE,"Departamento en Alquiler en Colegiales, Capital Federal","Colegiales, Capital Federal",71.0,2.0,10.0,2.0,3.0,1.0,,,,0,0,0,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-colegiales-3-ambientes--12581732,Colegiales,Capital Federal
294000.0,$,34000.0,ALVAREZ THOMAS al 300 PISO ALTO  AL FRENTE,"Departamento en Alquiler en Chacarita, Capital Federal","Chacarita, Capital Federal",71.0,2.0,0.0,2.0,3.0,1.0,,,,0,0,0,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-chacarita-3-ambientes--12581729,Chacarita,Capital Federal
110000.0,$,18000.0,"Av San Pedrito 200, Piso 4","Departamento en Alquiler en Flores Sur, Flores","Flores Sur, Flores",60.0,2.0,50.0,1.0,3.0,,,Muy Bueno,Lateral,0,0,0,0,0,0,0,Comuna 7,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-flores-sur-3-ambientes--12587678,Flores Sur,Flores
160000.0,$,16000.0,"CULLEN 5300, Piso 1","Departamento en Alquiler en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",80.0,2.0,40.0,1.0,3.0,1.0,1.0,Excelente,Frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--11076818,Villa Urquiza,Capital Federal
350000.0,$,20000.0,"F Bucarelli 2000, Piso 3","Departamento en Alquiler en Urquiza R, Villa Urquiza","Urquiza R, Villa Urquiza",105.0,3.0,0.0,2.0,,1.0,1.0,Excelente,Frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r--12587779,Urquiza R,Villa Urquiza
150000.0,$,15000.0,"Leon P Altolaguirre 3000, Piso PB","Departamento en Alquiler en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",51.0,1.0,5.0,1.0,,,,Excelente,Frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza--12588303,Villa Urquiza,Capital Federal
60000.0,$,6700.0,"San Luis 2400, Piso PB","Departamento en Alquiler en Balvanera, Capital Federal","Balvanera, Capital Federal",26.0,0.0,,1.0,,,,Muy Bueno,Frente,0,0,0,0,0,0,0,Comuna 3,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera--12588308,Balvanera,Capital Federal
